start frequency (MHz),stop frequency (MHz),band,color
0.1357,0.1378,2200m,0x5782AD
0.472,0.479,630m,0xAD5769
0.53,1.7,AM Broadcast,0x804000
1.8,2,160m,0x57AD5E
3.5,4,80m,0x7757AD
5.3305,5.405,60m,0xAD9057
7,7.3,40m,0x57ADAA
10.1,10.15,30m,0xAD5798
14,14.35,20m,0x7EAD57
18.068,18.168,17m,0x5765AD
21,21.45,15m,0xAD6257
24.89,24.99,12m,0x57AD7B
28,29.7,10m,0x9457AD
50,54,6m,0xADAD57
88,108,FM Broadcast,0x205020
118,137,Air Band,0x505020
144,148,2m,0x5794AD
162.4,162.55,NOAA Weather,0x206060
219,225,1.25m,0xAD577B
225,400,Military Air,0x900000
420,450,70cm,0x62AD57
902,928,33cm,0x6557AD
1240,1300,23cm,0xAD7E57
